Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
150,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2203,2043,6000,2.723558783,0.927371766,,G,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2834,2531,7711,2.720889203,0.89308398,NEG,NOT DETECTED,G10,TRUE
151,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2784,3469,243,0.087284483,1.246048851,,H,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2337,2527,3377,1.445014976,1.081300813,NEG,NOT DETECTED,H10,FALSE
152,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2219,1931,6195,2.791798107,0.870211807,,I,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2438,2149,6141,2.518867925,0.881460213,NEG,NOT DETECTED,I10,TRUE
153,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2865,3604,211,0.073647469,1.257940663,,J,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2696,3650,145,0.053783383,1.353857567,NEG,VOID,J10,TRUE
154,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2614,2425,6897,2.63848508,0.927697016,,K,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2320,2217,5989,2.581465517,0.955603448,NEG,NOT DETECTED,K10,TRUE
155,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2682,3499,200,0.074571216,1.304623415,,L,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2377,3158,95,0.039966344,1.328565419,NEG,VOID,L10,TRUE
156,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2041,2049,4999,2.449289564,1.003919647,,M,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2192,2377,4313,1.967609489,1.08439781,NEG,NOT DETECTED,M10,TRUE
157,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2231,2813,190,0.085163604,1.260869565,,N,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2334,3120,109,0.046700943,1.336760925,NEG,VOID,N10,TRUE
158,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2346,2333,5592,2.383631714,0.994458653,,O,10,2,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2313,2378,5450,2.356247298,1.028102032,NEG,NOT DETECTED,O10,TRUE
159,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2040,2564,168,0.082352941,1.256862745,,P,10,4,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2248,2994,100,0.044483986,1.331850534,NEG,VOID,P10,TRUE
